Age,Gender,State,Value,Lat,Lon
15-17,Male,NSW,103.6,-33.8688,151.2093
15-17,Male,Vic,74.5,-37.8136,144.9631
15-17,Male,Qld,54.2,-27.4698,153.0251
15-17,Male,SA,17.9,-34.9285,138.6007
15-17,Male,WA,43.3,-31.9505,115.8605
15-17,Male,Tas,7.6,-42.8821,147.3272
15-17,Male,NT,3.1,-12.4634,130.8456
15-17,Male,ACT,3.4,-35.2809,149.13
18-24,Male,NSW,270.3,-33.8688,151.2093
18-24,Male,Vic,202.3,-37.8136,144.9631
18-24,Male,Qld,127.2,-27.4698,153.0251
18-24,Male,SA,54.9,-34.9285,138.6007
18-24,Male,WA,80.9,-31.9505,115.8605
18-24,Male,Tas,16.5,-42.8821,147.3272
18-24,Male,NT,7.2,-12.4634,130.8456
18-24,Male,ACT,15.2,-35.2809,149.13
25-34,Male,NSW,362,-33.8688,151.2093
25-34,Male,Vic,267.9,-37.8136,144.9631
25-34,Male,Qld,191.6,-27.4698,153.0251
25-34,Male,SA,70.4,-34.9285,138.6007
25-34,Male,WA,149.1,-31.9505,115.8605
25-34,Male,Tas,23.2,-42.8821,147.3272
25-34,Male,NT,11.7,-12.4634,130.8456
25-34,Male,ACT,26.5,-35.2809,149.13
,Male ,NT,11.7,-12.4634,130.8456
,Male ,ACT,26.5,-35.2809,149.13
